,Model,NodeName,ModelHub,NodeTitle,NodeDescription,NodeLabels,Nstates,StateName,StateTitle,StateDescription,StateValue
1,miniPP_CM,Physics,,Physics Understanding,General understanding of Newtonian mechanics.,"pnode,Proficiency",3,High,Highest 1/3,Highest third of target population,0.9674215661
2,miniPP_CM,Physics,,,,,NA,Medium,Middle 1/3,Middle Third of target Population,0
3,miniPP_CM,Physics,,,,,NA,Low,Lowest 1/3,Lowest third of target population,-0.9674215661
4,miniPP_CM,IterativeD,,Use iterative design to solve a problem,"Mass and GPE are directly related
Height and GPE are directly related","Proficiencies,pnodes,LowLevel,Proficiency",3,High,,Complete Mastery,0.9674215661
5,miniPP_CM,IterativeD,,,,,NA,Medium,,Partial Mastery,0
6,miniPP_CM,IterativeD,,,,,NA,Low,,No Mastery,-0.9674215661
7,miniPP_CM,EnergyTransfer,,Energy can Transfer,Energy can transfer from one object to another.,"Proficiencies,pnodes,LowLevel,Proficiency",3,High,,Can use to solve difficult problems,0.9674215661
8,miniPP_CM,EnergyTransfer,,,,,NA,Medium,,Can use to solve simple but not difficult problems,0
9,miniPP_CM,EnergyTransfer,,,,,NA,Low,,Can not solve simple problems.,-0.9674215661
10,miniPP_CM,NTL,,Newton's Third Law?,"Force pairs act in opposite directions
Force pairs have equal magnitudes","Proficiencies,pnodes,LowLevel,Proficiency",3,High,,,0.9674215661
11,miniPP_CM,NTL,,,,,NA,Medium,,,0
12,miniPP_CM,NTL,,,,,NA,Low,,,-0.9674215661
13,miniPP_CM,POfMom,,Properties of momentum,"Momentum is directly related to mass
Momentum is directly related to velocity
Momentum is parallel to velocity","Proficiencies,pnodes,LowLevel,Proficiency",3,High,,,0.9674215661
14,miniPP_CM,POfMom,,,,,NA,Medium,,,0
15,miniPP_CM,POfMom,,,,,NA,Low,,,-0.9674215661
Right,PPcompEM,CompensatoryObs,miniPP_CM,Compensatory Observable,A binary response which requires both parent variables for high probability of success.,"pnodes,Observables,onodes",2,Right,,,NA
Wrong,PPcompEM,CompensatoryObs,,,,,NA,Wrong,,,NA
Right1,PPconjEM,ConjunctiveObs,miniPP_CM,Conjunctive Observable,A binary response whose probability of success is related to average of parent variables.,"pnodes,Observables,onodes",2,Right,,,NA
Wrong1,PPconjEM,ConjunctiveObs,,,,,NA,Wrong,,,NA
Full,PPtwostepEM,TwoStepObs,miniPP_CM,Partial Credit observable,A partial credit response where each step requires different inputs.,"pnodes,Observables,onodes",3,Full,Complete Solution,,NA
Partial,PPtwostepEM,TwoStepObs,,,,,NA,Partial,First step but not second,,NA
None,PPtwostepEM,TwoStepObs,,,,,NA,None,No attempt of failed first step,,NA
